Gene	Annotation
betI	Bacterial regulatory proteins, tetR family
lspA	Lipoprotein signal peptidase
iolG_2	Inositol 2-dehydrogenase
group_1006	hypothetical protein
ydbM	Putative acyl-CoA dehydrogenase YdbM
maf	Septum formation protein Maf
tcrX_1	putative transcriptional regulatory protein TcrX
lacZ_1	Beta-galactosidase
nfdA	N-substituted formamide deformylase precursor
ispF	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
group_1040	hypothetical protein
aroE	Shikimate dehydrogenase
xylB	Xylulose kinase
rsmG	Ribosomal RNA small subunit methyltransferase G
rsmE	Ribosomal RNA small subunit methyltransferase E
hag	Flagellin
hisE	Phosphoribosyl-ATP pyrophosphatase
group_1126	Alpha/beta hydrolase family protein
ftsA	Cell division protein FtsA
glpQ	Glycerophosphoryl diester phosphodiesterase precursor
group_1143	Acetyltransferase (GNAT) family protein
group_1144	GDSL-like Lipase/Acylhydrolase
hemY	Protoporphyrinogen oxidase
ylxH	Flagellum site-determining protein YlxH
group_1155	3-methyladenine DNA glycosylase
group_1156	hypothetical protein
tlyA	16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA
group_1161	OpgC protein
ykoV	putative DNA repair protein YkoV
rne	Ribonuclease E
gsiA_6	Glutathione import ATP-binding protein GsiA
lysN_2	2-aminoadipate transaminase
mrx1	Mycoredoxin 1
group_1237	hypothetical protein
group_1238	SURF1 family protein
group_1239	putative aminodeoxychorismate lyase
truA	tRNA pseudouridine synthase A
group_1250	hypothetical protein
group_1257	DSBA-like thioredoxin domain protein
Hgd	2-(hydroxymethyl)glutarate dehydrogenase
ygfZ	glycine cleavage system aminomethyltransferase T
gluP	Rhomboid protease GluP
group_128	Flagellar hook-length control protein FliK
group_1282	Alpha/beta hydrolase family protein
group_1284	hypothetical protein
group_1285	Alpha-pyrone synthesis polyketide synthase-like Pks18
xyoA_1	putative xylitol oxidase
menE	2-succinylbenzoate--CoA ligase
group_1295	Radical SAM superfamily protein
group_1296	Putative conjugal transfer protein/MT3759
group_1389	AP-4-A phosphorylase
group_1390	orotidine 5'-phosphate decarboxylase
ohrR_1	Organic hydroperoxide resistance transcriptional regulator
cutC	Copper homeostasis protein CutC
sbcD	Nuclease SbcCD subunit D
luxA_2	methylenetetrahydromethanopterin reductase
aroK_2	shikimate kinase
gcvT	Aminomethyltransferase
group_1412	hypothetical protein
group_1416	hypothetical protein
group_1417	Cell division protein FtsL
rapA	hypothetical protein
group_1482	hypothetical protein
group_1483	Putative DNA ligase-like protein/MT0965
group_1484	hypothetical protein
fliD	Flagellar hook-associated protein 2
group_1490	Flagellar protein (FlbD)
pspA_2	Phosphoserine phosphatase 1
group_1496	phosphoribosyl-AMP cyclohydrolase
fmt	Methionyl-tRNA formyltransferase
oppC_1	Oligopeptide transport system permease protein OppC
mscM	Mechanosensitive ion channel
proC	Pyrroline-5-carboxylate reductase
acpS	Holo-[acyl-carrier-protein] synthase
group_1516	hypothetical protein
bmr3_2	Multidrug resistance protein 3
nicR_1	DNA-binding transcriptional repressor MarR
swrC	Swarming motility protein SwrC
group_1522	hypothetical protein
group_1532	hypothetical protein
moaC2	Cyclic pyranopterin monophosphate synthase accessory protein 2
yedY	Sulfoxide reductase catalytic subunit YedY precursor
galM_2	Aldose 1-epimerase
group_1538	ABC-2 family transporter protein
rsmC	Ribosomal RNA small subunit methyltransferase C
yfbT	Sugar phosphatase YfbT
ttgW_2	DNA-binding transcriptional repressor AcrR
rbsR_4	Ribose operon repressor
cmk	Cytidylate kinase
nodA	Nodulation protein A
ykoU	putative ATP-dependent DNA ligase YkoU
group_1610	Trehalase
trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ung	Uracil-DNA glycosylase
trxA_2	Thioredoxin
comM	Competence protein ComM
rnhB	Ribonuclease HII
otsB	Trehalose-6-phosphate phosphatase
group_1634	hypothetical protein
strL	dTDP-4-dehydrorhamnose reductase
map_1	Methionine aminopeptidase 1
ywtF	Putative transcriptional regulator YwtF
group_1649	ribonuclease BN/unknown domain fusion protein
clpC1	ATP-dependent Clp protease ATP-binding subunit ClpC1
yqjA	Inner membrane protein YqjA
group_1660	hypothetical protein
mutX	8-oxo-dGTP diphosphatase
azoB_1	NAD(P)H azoreductase
group_1663	Putative transmembrane protein (PGPGW)
group_1665	hypothetical protein
nnr_1	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
group_1668	Glycosyl transferase family 2
group_1671	hypothetical protein
tyrS	Tyrosine--tRNA ligase
puuR	HTH-type transcriptional regulator PuuR
ubiG_2	hypothetical protein
yqjI_1	Transcriptional regulator YqjI
ppiB	Peptidyl-prolyl cis-trans isomerase cyp18
group_1691	hypothetical protein
smc_2	Chromosome partition protein Smc
gsiC_3	Glutathione transport system permease protein GsiC
group_1720	hypothetical protein
group_1741	Long-chain-fatty-acid--CoA ligase FadD15
group_1742	DSBA-like thioredoxin domain protein
celH	Endoglucanase H precursor
fliW	Flagellar assembly factor FliW
group_1748	hypothetical protein
pbpG	D-alanyl-D-alanine endopeptidase precursor
serB	Phosphoserine phosphatase
group_1753	OsmC-like protein
glgX_2	Glycogen debranching enzyme
purE	N5-carboxyaminoimidazole ribonucleotide mutase
ulaC	Ascorbate-specific phosphotransferase enzyme IIA component
mtlA	PTS system mannitol-specific EIICB component
ribD	Riboflavin biosynthesis protein RibD
group_1764	nicotinamidase/pyrazinamidase
mqo	putative malate:quinone oxidoreductase
crcB_2	Putative fluoride ion transporter CrcB
menD	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
phr	Deoxyribodipyrimidine photo-lyase
ribBA_2	Riboflavin biosynthesis protein RibBA
nagC_1	N-acetylglucosamine repressor
crr	Glucose-specific phosphotransferase enzyme IIA component
ptsG_1	PTS system glucose-specific EIICB component
srlR_2	Glucitol operon repressor
group_1788	Thioesterase superfamily protein
trxC	hypothetical protein
tcaR	MarR family protein
group_1791	hypothetical protein
clcD	Dienelactone hydrolase family protein
folB	putative dihydroneopterin aldolase
tilS	tRNA(Ile)-lysidine synthase
scoF	Cold shock protein ScoF
rnpA	ribonuclease P
pknA_1	Serine/threonine-protein kinase PknA
group_1818	hypothetical protein
group_182	hypothetical protein
moaB	Molybdenum cofactor biosynthesis protein B
group_1826	Vitamin K epoxide reductase family protein
group_1828	TOBE domain protein
cysW	Sulfate transport system permease protein CysW
group_1830	SprT-like family protein
folP	Dihydropteroate synthase
smc_1	Chromosome partition protein Smc
scpB	Segregation and condensation protein B
rdgB	Non-canonical purine NTP pyrophosphatase
treY	Maltooligosyl trehalose synthase
cysE	Serine acetyltransferase
uvrC	UvrABC system protein C
rutG	Putative pyrimidine permease RutG
mdtK	Multidrug resistance protein MdtK
xerD	Tyrosine recombinase XerD
pknE	Serine/threonine-protein kinase PknE
yehY	Putative osmoprotectant uptake system permease protein YehY
gsiD_2	Glutathione transport system permease protein GsiD
nreC_1	Oxygen regulatory protein NreC
group_1929	hypothetical protein
flgK	Flagellar hook-associated protein 1
pomA	Chemotaxis protein PomA
lafU	Chemotaxis protein LafU
moeZ_1	putative adenylyltransferase/sulfurtransferase MoeZ
glpF	putative glycerol uptake facilitator protein
nudG	RNA pyrophosphohydrolase
lip3	Lipase 3 precursor
bioY	Biotin transporter BioY
prmC_1	Release factor glutamine methyltransferase
glgB	1,4-alpha-glucan branching enzyme GlgB
rsmD	Ribosomal RNA small subunit methyltransferase D
mtrB	Sensor histidine kinase MtrB
cdd	Cytidine deaminase
group_1952	beta-methylgalactoside transporter inner membrane component
ridA	Enamine/imine deaminase
murB	UDP-N-acetylenolpyruvoylglucosamine reductase
menA	1,4-dihydroxy-2-naphthoate octaprenyltransferase
ccsB	Cytochrome c biogenesis protein CcsB
group_1965	Eukaryotic DNA topoisomerase I, catalytic core
adk	Adenylate kinase
ypeA_1	ribosomal-protein-alanine N-acetyltransferase
group_1977	hypothetical protein
group_1979	PAP2 superfamily protein
group_1981	hypothetical protein
group_1982	hypothetical protein
galK	Galactokinase
mrsA	Peptide methionine sulfoxide reductase MsrA
nifU	NifU-like protein
csd	putative cysteine desulfurase
ydfJ	Membrane protein YdfJ
soj	Sporulation initiation inhibitor protein Soj
group_2023	hypothetical protein
